content,appName
sy sebagai driver..tolong klu ada penumpang or customer kasih bintang ga bagus..tolong di comfirmasi dulu..anda bisa lihat riwayat saya..di bilang driver terlambat lhat riwayat perjlnannya dulu jngn langsung kasih bintang rendah aja..akun sy jadi gagu..klu seperti ini sy sebagai driver sangat kecewa...tolong di perhatikandrivernya..driver ada hardadepan ujung tombak sebuah app tranfortasi...trimaksih,inDrive
bagi customer ongkir dah murah. nunggu km aja gak minta lebih kalau gak bisa ngasih bintang 5 jangan bintang 5 kebawah karena dibawah 4.8 driver bisa ke supend/PM.kita dah nganterin dengan selamat bersyukurlah jadilah manusia yg membawa berkah/berkat bagi orang lain gratis tanpa sepeser 100Rp pun,inDrive
bagus dan nyaman,inDrive
penjemputan tepat waktu,inDrive
mantaf,inDrive
bagus,inDrive
Tolong diperbaiki lagi utk posisi gps driver ya. Soalnya tiap mesan indriver kok lokasi drivernya stuck dan malahmakin menjauhi customer & lelet prpindahannya. 🙏,inDrive
"saat terima otomatis permintaan perjalanan,selalu di kasih orderan penumpang yg titik jemput nya lebih dari 18 kilometer dari titik driver berada jika di tempuh bisa 1 jam'an perjalanan ,, jika kita menyaran kan penumpang untuk mencari yg lebih dekat dari si penumpang, lalu penumpang membatalkan, driver yg kena warning dari aplikator.. sungguh aneh ya . coba aplikator kalo ngasih penumpang fikirkan jarak tempuh driver ke titik penjemputan penumpang.2 kali kejadian kaya gitu.",inDrive
semoga gacor,inDrive
tolong dong ini akun saya gabisa login kenapa yaaa tiba tiba banget dan ada tulisan terjadi kesalahan teruss bantu up dong biar secepatnya 🙏,inDrive
1 hari ini tak ada orderan,inDrive
bagus nyaman,inDrive
bagus,inDrive
tolong mohon sistem di perbaiki kadang sampai lokasi penjemputan gak bisa di klik,inDrive
👍👍👍,inDrive
baik,inDrive
"itu menu ""TARIF"" apaan sih tidak jelas banget,tidak ada tulisannya..tulisan putih background putih tidak kelihatan,tolong itu CEO indrive benahin IT nya...jangan pada makan gaji buta",inDrive
Semakin maju,inDrive
tolong dong masa sudah sampe titik (saya di sini) ga bisa di klik tolong perbaiki lagi dong ujung² nya di batalin rating turun gara² itu,inDrive
semoga updete tan yg baru ini lebih baik daripada yang kemarin,inDrive
"suka dengan pelayanan nya,aman",inDrive
"APLIKASI GAK JELAS .. UDAH JAUH JAUH JEMPUT , SAMPAI TITIK PENJEMPUTAN GAK BISA NGABARIN PENUMPANG .. TOLONG PERBAIKI DONGG",inDrive
"saya sudah sampai di tempat penjemputan, tapi tombol ""saya sudah sampai"" tidak bisa di klik,",inDrive
pelayanan yg ramah,inDrive
mantap,inDrive
pelayanan supir baik,inDrive
Salut saya lihat driver indri pake tambahan mod/modul Yg driver ori gak bisa bersaing 😰,inDrive
perbaiki sistem tarif nya dan hrs ada pengaduan klo ada kendala orderan hrs kmana..?,inDrive
"bisa JD driver ataupun penumpang,, sngat membantu",inDrive
Sangat buruk dan sering error.,inDrive
sulit untuk mendapatkan orderan bike,inDrive
"Lapor, saya sudah sejak 2020 pakai indriver. awalnya saya suka banget. tapi akhir2 ini ada yang aneh kenapa drivernya kompak tidak mau terima orderan dg harga standar. malah driver menaikan harga yang tak masuk akal. padahal saya butuh banget apalagi ada keperluan mengantarkan keluarga ke rumah sakit.",inDrive
mantap sangan membantu sekali dalam perjalanan,inDrive
Perbanyak lagi penumpang nya dan tarif nya juga sesuaikan...,inDrive
nice,inDrive
sangat membantu,inDrive
terimakasih,inDrive
tolong indriver kalau top bisa 10 ribu sama 50 ribu supaya driver yang gak punya duit bisa top yang sesuai duitnya,inDrive
Pelayanan bagus dan murah,inDrive
"Tolong Nomer penumpang harus di sertakan, biar penumpang kalo kabur Driver bisa chat penumpang",inDrive
mesti ada SKCK yg masih berlaku baru bisa online...sama mesti SIM masih hidup 🤣🤣🤣,inDrive
yg Cancel Driver Bukan Aku Cancel,inDrive
bagussss bangettttt,inDrive
nyaman tepat waktu,inDrive
tiba dengan cepat dan drivernya rapi,inDrive
"pengemudi indriver sering x kata"" nya gk ngenakkn",inDrive
"ini habis update kok tiba2 penawaran list order berubah. sy driver roda 2 kenapa dapat penawaran list order roda 4. sy merasa dirugikan sebagai driver. saya sudah via bantuan di apk tetap tidak ada solusi terkesan buru2 mengakhiri, via email tidak ada balasan percakapan pula. nyeleneh lama2 ....",inDrive
Bisakah Aplikasibya dibuat paten tanpa harus diotak atik makin lama driver yang dekat sulit masuk room lelang Dan bisa tidak aplikasi indrave tidak dibocorkan orang dalam yang seenaknya mencari keuntungan pribadi,inDrive
"tolong bunyi notifikasi di adakan,banyak order auto yang terlewat dan menyebabkan kesalahfahaman antara driver dan customer. bunyi notifikasi minimal ada dan ada pilihan,tolong dipertimbangkan saran dan kritik saya.",inDrive
lambat,inDrive
hampir setiap minggu update terus tapi tidak ada perubahan sama sekali malah lebih sering eror,inDrive
Terimakasih,inDrive
untuk penumpang indrive yang baik hati saya ucapkan terimakasih,inDrive
good,inDrive
indriver sangat memalukan tiap hari online TPI dapat konsumen cuma 1 ..paraaaaaaaaaaah,inDrive
harga terjangkau sesuai jarak,inDrive
"Aplikasi pencari fulus,tp kadang aneh masak jarak 500meter masih ditolak,terus sekarang ada order fiktif juga",inDrive
sangat memuaskan,inDrive
josssss,inDrive
"parah nih sistem indriver, seakan akan driver di sudutkan.. tolong di perbaiki lagi sistem nya",inDrive
ok,inDrive
mudan2an custumernya bisa lebih bnyk lagi🤲,inDrive
"min. ini cara liat UID gimana, aku pengen beli jaket tapi. cek UID nya gimana min?",inDrive
tarifnya terjangkau supirnya ramah,inDrive
bagus tarif terjangkau,inDrive
bagus,inDrive
saran untuk pihak indrive tolong nama penumpang yang mengasih rating bintang nya dong di munculkan,inDrive
sangat membantu untuk mendapatkan penghasilan,inDrive
Aplikasi cuman dapat orderan 3 mentok 4 orderan sungguh aplikasi parah 🤦,inDrive
pelayanan sangat baik dan tepat waktu saya sangat puas.👍🏻👍🏻👍🏻👍🏻,inDrive
bagus,inDrive
aplikasi gimana ini,inDrive
Dimohon untuk memperpanjang waktu penjemputan karna waktu penjemputan terlalu singkat dapat membahayakan pengemudi,inDrive
