content,appName
"APLIKASI BURUK!! MENGAPA CALON PENUMPANG YANG TELAH MEMBATALKAN PERJALANAN/ORDERAN BISA MEMBERIKAN BINTANG/RATING KEPADA PENGEMUDI? SEHARUSNYA SETIAP PERJALANAN YANG BATAL/DIBATALKAN BAIK DARI PENGEMUDI MAUPUN PENUMPANG TIDAK BISA DIBERIKAN RATING/BINTANG, DAN SEHARUSNYA SALDO TIDAK TERPOTONG DISAAT PERJALANAN DIBATALKAN!!!",inDrive
"Murah banget harganya,kendaraan bagus dan GK kalah SM sebelah...",inDrive
tombol pintasan hilang di xiaomi redmi note 14,inDrive
"CS dari indriver tidak dapat membantu menyelesaikan masalah saya terkait kehilangan akun. Cs langsung memutuskan obrolan tanpa ada arahan, saran atau cara untuk mengatasi masalah",inDrive
Aplikasi ke apa ni setiap kali mau' tawar harga luar kota harus daftarkan terus menerus saldo tiba tiba hilang lagi tolong cs Mohon di perbaiki mengenai Saya hilang dan tawaran harga kalo bisa di permanen jangan setiap kali ada perencanaan daftar aja terus abis saldonya di ambil semua rugi saya jadi driver indriver 👹👹👹,inDrive
Gas lagi promonya biar lebih banyak penumpang,inDrive
tolong dibantu kenapaau verify paspor susah skali padahal fotonya sudah bersih. apa kendala nya,inDrive
KAPAN DI KOTA PALU SULAWESI TENGAH BISA DI GUNAKAN IN DRIVE..?,inDrive
sangat membantu,inDrive
keren,inDrive
"Kdg gk tepat, di notif udh dekat mau sampai tp msh jauh. Krg update yg bener hrs di perhatikan",inDrive
masyaallah,inDrive
Tolong servernya di perhatikan. Semenjak di perbarui knapa menjadi lelet.,inDrive
sangat memuaskan pengguna aplikasi,inDrive
"Indrive lama tambah lama tambah parah , Orderan yg dekat2 mangkal ndak di kasih , Malah di kasih lokasi agak jauh dari mangkal.",inDrive
Mantap....semoga lancar trs penumpangnya. Aplikasi yg adil dan mudah di gunakan..,inDrive
Bagus,inDrive
Kenapa sya udh download tapi gak muncul yah . Bantu arahan bos,inDrive
mantaf,inDrive
"Customer masih banyak yang curang tentang ongkir ya. Pakai aplikasi ketiga agar ongkir ya murah banget. Driver yang boncos.. Tolong diperbaiki agar tidak ada yang curang mau costumer, dan drivernya terimakasih",inDrive
Makin diupdate makin ancur gak dapet-dapet orderan,inDrive
Potongan aplikasi semakin mahal Driver terhempas,inDrive
Aplikasi Tae ucing hasem orderan,inDrive
